camera_id,location_name,ip_address,latitude,longitude,camera_type,is_active,installed_at,last_maintenance,status
CAM049,Buea - Mutengene,192.168.10.49,4.09,9.27,PTZ,True,2023-12-24 06:54:21,2024-08-12 06:54:21,Operational
CAM050,Douala - PK10,192.168.10.50,4.005,9.755,Fixed,False,2020-01-24 17:01:37,2020-07-21 17:01:37,Operational
CAM051,Yaounde - Etoa,192.168.10.51,3.87,11.5,PTZ,True,2022-06-09 02:48:29,2022-11-08 02:48:29,Maintenance
CAM052,Buea - Ngeme,192.168.10.52,4.178,9.298,Fixed,True,2022-01-19 17:37:02,2022-10-02 17:37:02,Operational
CAM053,Douala - Marché Sandaga,192.168.10.53,4.04,9.708,PTZ,True,2024-10-05 05:13:28,2024-10-23 05:13:28,Operational
CAM054,Yaounde - Nkolbisson,192.168.10.54,3.825,11.57,Fixed,True,2021-07-21 06:45:15,2022-06-26 06:45:15,Operational
CAM055,Buea - Tole,192.168.10.55,4.19,9.295,PTZ,True,2024-10-30 13:04:32,2025-02-08 13:04:32,Maintenance
CAM056,Douala - Bonaloka,192.168.10.56,4.05,9.69,Fixed,True,2021-08-06 22:14:03,2021-12-21 22:14:03,Operational
CAM057,Yaounde - Mokolo Market,192.168.10.57,3.855,11.52,PTZ,True,2021-07-25 07:26:24,2021-11-05 07:26:24,Operational
CAM058,Buea - Dibanda,192.168.10.58,4.145,9.28,Fixed,True,2022-07-11 11:39:19,2022-09-09 11:39:19,Operational
CAM059,Douala - Village,192.168.10.59,4.075,9.718,PTZ,False,2020-04-23 09:50:41,2021-01-31 09:50:41,Maintenance
CAM060,Yaounde - Mini Prix,192.168.10.60,3.868,11.51,Fixed,True,2021-07-24 15:22:09,2022-06-19 15:22:09,Operational
CAM061,Buea - Bolole,192.168.10.61,4.164,9.276,PTZ,True,2022-11-28 01:10:04,2023-11-11 01:10:04,Operational
CAM062,Douala - Tradex Bonaberi,192.168.10.62,4.06,9.66,Fixed,True,2023-05-01 10:23:48,2023-10-07 10:23:48,Operational
CAM063,Yaounde - Nkolndongo,192.168.10.63,3.872,11.54,PTZ,True,2024-10-21 16:46:23,2024-12-09 16:46:23,Maintenance
CAM064,Buea - Fako Road,192.168.10.64,4.153,9.292,Fixed,True,2024-10-06 17:35:06,2025-07-07 17:35:06,Operational
CAM065,Douala - Carrefour Ndokoti,192.168.10.65,4.031,9.716,PTZ,True,2020-11-19 05:35:42,2021-09-16 05:35:42,Operational
CAM066,Yaounde - Elig-Essono,192.168.10.66,3.848,11.532,Fixed,True,2022-07-23 23:29:34,2022-12-26 23:29:34,Operational
CAM067,Buea - Checkpoint,192.168.10.67,4.1585,9.2895,PTZ,True,2020-12-28 18:16:12,2021-03-25 18:16:12,Maintenance
CAM068,Douala - Port Entrance,192.168.10.68,4.05,9.665,Fixed,True,2021-04-17 08:48:43,2021-04-27 08:48:43,Operational
CAM069,Yaounde - Nkondom,192.168.10.69,3.828,11.575,PTZ,True,2020-03-24 01:52:36,2020-05-08 01:52:36,Operational
CAM070,Buea - Malingo Street,192.168.10.70,4.161,9.2885,Fixed,False,2020-07-21 13:24:55,2021-06-28 13:24:55,Operational
CAM071,Douala - Akwa Clinic,192.168.10.71,4.05,9.702,PTZ,True,2023-04-12 12:08:56,2023-06-23 12:08:56,Maintenance
CAM072,Yaounde - Cité Verte,192.168.10.72,3.888,11.508,Fixed,True,2021-12-08 23:45:05,2021-12-26 23:45:05,Operational
CAM073,Buea - Bova,192.168.10.73,4.174,9.29,PTZ,True,2023-11-23 10:00:52,2024-10-10 10:00:52,Operational
CAM074,Douala - Marché Central,192.168.10.74,4.047,9.706,Fixed,True,2020-05-04 19:17:05,2021-03-16 19:17:05,Operational
CAM075,Yaounde - Gendarmerie,192.168.10.75,3.862,11.512,PTZ,True,2023-10-17 19:14:48,2024-08-20 19:14:48,Maintenance
CAM076,Buea - Road 2,192.168.10.76,4.152,9.284,Fixed,True,2021-09-25 06:58:10,2021-10-06 06:58:10,Operational
CAM077,Douala - Wouri River Bank,192.168.10.77,4.07,9.68,PTZ,False,2021-11-17 14:40:48,2022-05-17 14:40:48,Operational
CAM078,Yaounde - Nkolbikok,192.168.10.78,3.835,11.555,Fixed,True,2023-06-30 19:01:20,2024-06-25 19:01:20,Operational
CAM079,Buea - Upper Bokwoango,192.168.10.79,4.165,9.297,PTZ,True,2022-03-14 18:05:11,2022-05-18 18:05:11,Maintenance
CAM080,Douala - Marché Congo,192.168.10.80,4.048,9.709,Fixed,True,2024-04-05 07:57:49,2024-05-10 07:57:49,Operational
CAM081,Yaounde - Nkol-Eton,192.168.10.81,3.875,11.522,PTZ,True,2022-02-14 03:23:00,2022-09-07 03:23:00,Operational
CAM082,Buea - Bwitingi,192.168.10.82,4.176,9.292,Fixed,True,2022-11-03 10:27:41,2023-03-29 10:27:41,Operational
CAM083,Douala - Total Bonamoussadi,192.168.10.83,4.068,9.745,PTZ,True,2022-02-04 01:46:37,2023-01-08 01:46:37,Maintenance
CAM084,Yaounde - Ekoudou,192.168.10.84,3.86,11.5,Fixed,True,2023-09-26 17:07:37,2023-12-09 17:07:37,Operational
CAM085,Buea - Lycée Molyko,192.168.10.85,4.1575,9.2905,PTZ,True,2022-03-18 19:49:22,2022-04-19 19:49:22,Operational
CAM086,Douala - Marché Mboppi,192.168.10.86,4.038,9.712,Fixed,True,2024-05-27 08:49:46,2024-10-27 08:49:46,Operational
CAM087,Yaounde - Avenue Kennedy,192.168.10.87,3.863,11.515,PTZ,True,2023-02-25 11:31:16,2023-08-23 11:31:16,Maintenance
CAM088,Buea - Presidential Palace Road,192.168.10.88,4.16,9.286,Fixed,True,2022-12-26 02:37:00,2023-07-29 02:37:00,Operational
CAM089,Douala - Parc des Princes,192.168.10.89,4.042,9.695,PTZ,True,2024-07-23 13:30:37,2025-05-11 13:30:37,Operational
CAM090,Yaounde - Avenue Winston Churchill,192.168.10.90,3.858,11.508,Fixed,True,2023-04-24 18:36:12,2023-08-21 18:36:12,Operational
CAM091,Buea - Buea Town Health Centre,192.168.10.91,4.1505,9.2815,PTZ,False,2022-07-07 17:24:07,2022-08-22 17:24:07,Maintenance
CAM092,Douala - PK8,192.168.10.92,4.01,9.745,Fixed,True,2020-05-20 02:20:21,2021-04-19 02:20:21,Operational
CAM093,Yaounde - Lac Municipal,192.168.10.93,3.867,11.505,PTZ,False,2024-06-17 20:20:44,2025-03-15 20:20:44,Operational
CAM094,Buea - CCAST,192.168.10.94,4.1705,9.2845,Fixed,True,2022-05-17 02:40:19,2023-01-21 02:40:19,Operational
CAM095,Douala - Koumassi,192.168.10.95,4.045,9.725,PTZ,True,2022-06-01 06:01:46,2023-05-19 06:01:46,Maintenance
CAM096,Yaounde - Centre Ville,192.168.10.96,3.865,11.52,Fixed,True,2023-09-30 22:56:50,2024-01-01 22:56:50,Operational
CAM097,Buea - UB Sport Complex,192.168.10.97,4.167,9.291,PTZ,True,2022-06-29 19:30:36,2022-10-21 19:30:36,Operational
CAM098,Douala - Ancien Route Bonaberi,192.168.10.98,4.072,9.655,Fixed,True,2020-02-26 09:29:46,2020-06-02 09:29:46,Operational
CAM099,Yaounde - Carrefour Vogt,192.168.10.99,3.869,11.518,PTZ,True,2024-12-28 19:35:57,2025-03-18 19:35:57,Maintenance
CAM100,Buea - Fako Residence,192.168.10.100,4.1545,9.2875,Fixed,True,2020-08-23 20:58:54,2020-11-15 20:58:54,Operational
